Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1992,1992,1000 persons,1023.450000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1993,1993,1000 persons,1010.218000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1994,1994,1000 persons,1000.757000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1995,1995,1000 persons,1001.978000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1996,1996,1000 persons,1008.429000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1997,1997,1000 persons,1013.466000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1998,1998,1000 persons,1017.885000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,1999,1999,1000 persons,1021.822000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2000,2000,1000 persons,1025.765000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2001,2001,1000 persons,1030.348000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2002,2002,1000 persons,1034.181000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2003,2003,1000 persons,1036.995000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2004,2004,1000 persons,1039.060000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2005,2005,1000 persons,1040.142000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2006,2006,1000 persons,1041.003000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2007,2007,1000 persons,1041.893000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2008,2008,1000 persons,1043.017000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2009,2009,1000 persons,1044.546000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2010,2010,1000 persons,1046.290000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2011,2011,1000 persons,1047.664000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2012,2012,1000 persons,1048.645000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2013,2013,1000 persons,1049.800000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2014,2014,1000 persons,1051.094000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2015,2015,1000 persons,1052.227000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2016,2016,1000 persons,1053.137000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2017,2017,1000 persons,1053.843000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2018,2018,1000 persons,1054.442000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2019,2019,1000 persons,1054.637000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2020,2020,1000 persons,1052.884000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2021,2021,1000 persons,1048.697000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2022,2022,1000 persons,1043.525000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2023,2023,1000 persons,1039.353000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2024,2024,1000 persons,1037.773000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2025,2025,1000 persons,1037.602000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2026,2026,1000 persons,1037.152000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2027,2027,1000 persons,1036.421000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2028,2028,1000 persons,1035.397000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2029,2029,1000 persons,1034.080000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2030,2030,1000 persons,1032.472000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2031,2031,1000 persons,1030.585000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2032,2032,1000 persons,1028.416000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2033,2033,1000 persons,1025.964000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2034,2034,1000 persons,1023.262000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2035,2035,1000 persons,1020.315000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2036,2036,1000 persons,1017.130000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2037,2037,1000 persons,1013.734000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2038,2038,1000 persons,1010.143000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2039,2039,1000 persons,1006.350000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2040,2040,1000 persons,1002.361000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2041,2041,1000 persons,998.194000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2042,2042,1000 persons,993.877000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2043,2043,1000 persons,989.425000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2044,2044,1000 persons,984.833000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2045,2045,1000 persons,980.111000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2046,2046,1000 persons,975.275000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2047,2047,1000 persons,970.338000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2048,2048,1000 persons,965.286000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2049,2049,1000 persons,960.111000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2050,2050,1000 persons,954.822000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2051,2051,1000 persons,949.428000,X,
